experiment,kappa,macro_f1,balanced_accuracy,ECE,MCE,Brier,AURC,risk@80,risk@90,err_AUROC,unc_score
unc_mcd,"0.7914  [0.7161, 0.8577]","0.6647  [0.5644, 0.7486]","0.6265  [0.5427, 0.7150]",0.2027,0.2988,0.4659,0.1442,0.2273,0.2422,0.7180,mutual_info
unc_mcd_p5,"0.8364  [0.7764, 0.8851]","0.6274  [0.5345, 0.7148]","0.6074  [0.5224, 0.6938]",0.2037,0.5711,0.4504,0.1409,0.1919,0.2422,0.7647,mutual_info
unc_ensemble5,"0.7931  [0.7140, 0.8581]","0.6253  [0.5287, 0.7120]","0.5872  [0.5055, 0.6728]",0.1849,0.5234,0.4281,0.1666,0.2121,0.2377,0.7327,mutual_info
unc_evidential,"0.7822  [0.7158, 0.8401]","0.5836  [0.4943, 0.6635]","0.5761  [0.4931, 0.6583]",0.0585,0.2540,0.4712,0.1788,0.2677,0.2915,0.7257,vacuity
unc_temp,"0.7876  [0.7139, 0.8537]","0.6430  [0.5449, 0.7314]","0.6112  [0.5293, 0.6989]",0.1111,0.6047,0.4076,0.1487,0.2222,0.2646,0.7088,entropy
baseline,"0.7876  [0.7139, 0.8537]","0.6430  [0.5449, 0.7314]","0.6112  [0.5293, 0.6989]",0.2117,0.3159,0.4713,0.1453,0.2172,0.2511,0.7209,entropy
