experiment,is_baseline,accuracy,balanced_accuracy,macro_f1,weighted_f1,quadratic_kappa,macro_auroc
baseline_resnet50,True,"0.7218  [0.6653, 0.7742]","0.6112  [0.5293, 0.6989]","0.6430  [0.5449, 0.7314]","0.7182  [0.6590, 0.7721]","0.7876  [0.7139, 0.8537]","0.9195  [0.8838, 0.9467]"
mtl_fixed,False,"0.6895  [0.6331, 0.7419]","0.5740  [0.4894, 0.6541]","0.6074  [0.5078, 0.6933]","0.6842  [0.6215, 0.7385]","0.7727  [0.7018, 0.8397]","0.9128  [0.8775, 0.9407]"
mtl_uncertainty,False,"0.7097  [0.6532, 0.7621]","0.5762  [0.4942, 0.6632]","0.5994  [0.5036, 0.6890]","0.7057  [0.6460, 0.7593]","0.8257  [0.7647, 0.8740]","0.9238  [0.8913, 0.9497]"
mtl_center_only,False,"0.7218  [0.6694, 0.7742]","0.5985  [0.5221, 0.6822]","0.6203  [0.5326, 0.7013]","0.7182  [0.6652, 0.7707]","0.8622  [0.8291, 0.8937]","0.9332  [0.9071, 0.9545]"
mtl_demog_only,False,"0.7137  [0.6613, 0.7622]","0.5774  [0.4981, 0.6593]","0.6083  [0.5129, 0.6972]","0.7089  [0.6530, 0.7587]","0.7879  [0.7149, 0.8512]","0.9229  [0.8948, 0.9457]"
