experiment,kappa,kappa_ci,delta_vs_baseline,delta_ci,p_value,sig@5%
baseline_resnet50,0.7876447876447876,"0.7876  [0.7139, 0.8537]",0.0,-,-,-
mtl_fixed,0.7726820780512056,"0.7727  [0.7018, 0.8397]",-0.014962709593582035,"[-0.0337, +0.0026]",0.098,no
mtl_uncertainty,0.8256759990428333,"0.8257  [0.7647, 0.8740]",0.03803121139804566,"[-0.0030, +0.0903]",0.084,no
mtl_center_only,0.8622222222222222,"0.8622  [0.8291, 0.8937]",0.0745774345774346,"[+0.0217, +0.1392]",0.007,yes
mtl_demog_only,0.7878711783539456,"0.7879  [0.7149, 0.8512]",0.00022639070915797532,"[-0.0362, +0.0354]",1.0,no
